Transaction_ID,Date,Unit_Price,Units_Sold,Marketing_Spend,Logistics_Delay,Revenue,Customer_Score_Freq,Region_enc,Channel_enc,Product_Variant_enc,Year,Month,Day,DayOfWeek
RB05641,2023-11-02,0.6873090224416895,-0.23237571609187077,-0.34504996231803325,3,-0.19489459624516248,0,7,2,4,2023,11,2,3
RB05924,2023-07-11,0.6873090224416895,-0.011524061459289801,-0.19798849876056374,0,0.046139071633931064,2,7,2,4,2023,7,11,1
RB04510,2024-12-10,0.20510684695451212,-0.09599727498235072,-0.03139858681712445,1,-0.08035623360161383,0,0,3,1,2024,12,10,1
RB07816,2024-12-12,1.1695111979288668,0.005777681069529905,-0.22083094632253822,1,0.10585844610980298,1,4,1,3,2024,12,12,3
RB03650,2024-05-03,0.20510684695451212,-0.2537484568627657,0.19483475435849062,1,-0.2423956741926011,2,2,1,1,2024,5,3,4
RB01676,2023-05-01,-1.7237018549941974,-0.03900329959329757,0.12050961072089014,2,-0.17365958890965005,1,4,1,0,2023,5,1,0
RB07303,2023-01-16,-1.7237018549941974,-0.31583118005441285,-0.4084038157567342,2,-0.38692440104230424,2,6,3,0,2023,1,16,0
RB08765,2023-02-14,-1.7237018549941974,0.032239169643018865,-0.4094073048113813,0,-0.11877526225786404,2,4,0,0,2023,2,14,1
RB03770,2024-09-01,-0.2770953285326653,-0.15400899993192269,0.07988792833687273,1,-0.17052334167240513,1,2,0,2,2024,9,1,6
RB04799,2024-05-02,1.1695111979288668,0.04546991392976335,0.014650003487274625,1,0.15172606195450986,2,2,4,3,2024,5,2,3
RB02249,2024-01-14,0.20510684695451212,-0.03391455179070354,-0.4128897065354661,1,-0.016585873110967233,2,5,1,1,2024,1,14,6
RB07379,2023-11-26,0.20510684695451212,-0.2710501993915854,-0.26188857401247223,5,-0.26016774187032227,2,2,3,1,2023,11,26,6
RB07148,2024-05-24,0.20510684695451212,-0.1244942626768773,0.1815025690823159,3,-0.10962787448256638,2,4,3,1,2024,5,24,4
RB07110,2023-09-15,-1.7237018549941974,0.09737514151622247,0.09782673815407202,2,-0.06859530646194541,1,4,0,0,2023,9,15,4
RB09531,2024-09-15,0.6873090224416895,0.12485437965023025,0.06732849346277442,2,0.19498013843484596,1,6,1,4,2024,9,15,6
